Name,Quantity,Component
"U1",1," Arduino Uno R3"
"U2",1," LCD 16 x 2"
"R1, R3, R4, R5",4,"220 Ω Resistor"
"R2",1,"10 kΩ Resistor"
"S1, S2, S3",3," Pushbutton"
"PIEZO1",1," Piezo"
